share,share_pct,state,P_static_s,source
0.70,70,24,0.53963203,conditional_logit_mean_over_5_seeds
0.70,70,25,0.70942531,conditional_logit_mean_over_5_seeds
0.70,70,26,0.67611640,conditional_logit_mean_over_5_seeds
0.70,70,27,0.64090008,conditional_logit_mean_over_5_seeds
0.70,70,28,0.60409311,conditional_logit_mean_over_5_seeds
0.70,70,29,0.76066391,conditional_logit_mean_over_5_seeds
0.70,70,30,0.73100657,conditional_logit_mean_over_5_seeds
0.70,70,31,0.69909858,conditional_logit_mean_over_5_seeds
0.70,70,32,0.66512467,conditional_logit_mean_over_5_seeds
0.70,70,33,0.58276540,conditional_logit_mean_over_5_seeds
0.70,70,34,0.54426173,conditional_logit_mean_over_5_seeds
0.70,70,35,0.50522349,conditional_logit_mean_over_5_seeds
0.70,70,36,0.46614420,conditional_logit_mean_over_5_seeds
0.70,70,37,0.64519416,conditional_logit_mean_over_5_seeds
0.70,70,38,0.60858246,conditional_logit_mean_over_5_seeds
0.70,70,39,0.57069566,conditional_logit_mean_over_5_seeds
0.70,70,40,0.53197163,conditional_logit_mean_over_5_seeds
0.70,70,41,0.70303520,conditional_logit_mean_over_5_seeds
0.70,70,42,0.66933652,conditional_logit_mean_over_5_seeds
0.70,70,43,0.63378378,conditional_logit_mean_over_5_seeds
0.70,70,44,0.59670813,conditional_logit_mean_over_5_seeds
0.70,70,45,0.75501768,conditional_logit_mean_over_5_seeds
0.70,70,46,0.72491495,conditional_logit_mean_over_5_seeds
0.70,70,47,0.69258950,conditional_logit_mean_over_5_seeds
0.70,70,48,0.65824133,conditional_logit_mean_over_5_seeds
0.70,70,49,0.57524695,conditional_logit_mean_over_5_seeds
0.70,70,50,0.53660497,conditional_logit_mean_over_5_seeds
0.70,70,51,0.49752052,conditional_logit_mean_over_5_seeds
0.70,70,52,0.45848928,conditional_logit_mean_over_5_seeds
0.70,70,53,0.63810084,conditional_logit_mean_over_5_seeds
0.70,70,54,0.60121280,conditional_logit_mean_over_5_seeds
0.70,70,55,0.56312831,conditional_logit_mean_over_5_seeds
0.70,70,56,0.52429463,conditional_logit_mean_over_5_seeds
0.70,70,57,0.69655638,conditional_logit_mean_over_5_seeds
0.70,70,58,0.66247810,conditional_logit_mean_over_5_seeds
0.70,70,59,0.62660230,conditional_logit_mean_over_5_seeds
0.70,70,60,0.58927412,conditional_logit_mean_over_5_seeds
0.70,70,61,0.74927264,conditional_logit_mean_over_5_seeds
0.70,70,62,0.71872923,conditional_logit_mean_over_5_seeds
0.70,70,63,0.68599424,conditional_logit_mean_over_5_seeds
0.70,70,64,0.65128298,conditional_logit_mean_over_5_seeds
1.00,100,1,0.60773610,full_sample_grid_P_static
1.00,100,2,0.47575702,full_sample_grid_P_static
1.00,100,3,0.34707940,full_sample_grid_P_static
1.00,100,4,0.23744188,full_sample_grid_P_static
1.00,100,5,0.67473428,full_sample_grid_P_static
1.00,100,6,0.54855217,full_sample_grid_P_static
1.00,100,7,0.41580187,full_sample_grid_P_static
1.00,100,8,0.29423880,full_sample_grid_P_static
1.00,100,9,0.73527385,full_sample_grid_P_static
1.00,100,10,0.61932712,full_sample_grid_P_static
1.00,100,11,0.48796214,full_sample_grid_P_static
1.00,100,12,0.35823922,full_sample_grid_P_static
1.00,100,13,0.78808450,full_sample_grid_P_static
1.00,100,14,0.68537050,full_sample_grid_P_static
1.00,100,15,0.56062769,full_sample_grid_P_static
1.00,100,16,0.42772381,full_sample_grid_P_static
1.00,100,17,0.58325594,full_sample_grid_P_static
1.00,100,18,0.45048777,full_sample_grid_P_static
1.00,100,19,0.32441531,full_sample_grid_P_static
1.00,100,20,0.21952991,full_sample_grid_P_static
1.00,100,21,0.65204138,full_sample_grid_P_static
1.00,100,22,0.52327579,full_sample_grid_P_static
1.00,100,23,0.39133992,full_sample_grid_P_static
1.00,100,24,0.27357939,full_sample_grid_P_static
1.00,100,25,0.71502072,full_sample_grid_P_static
1.00,100,26,0.59508838,full_sample_grid_P_static
1.00,100,27,0.46261669,full_sample_grid_P_static
1.00,100,28,0.33522054,full_sample_grid_P_static
