alpha,beta
0.7044980082213526,1.3908542883541164
0.80263825792099,1.562175386185698
0.8252334146239511,1.5017823269626889
0.9793721865232855,1.7062035902557062
0.7919748884355802,1.4994607237006876
0.8683939090786688,1.6303397120790004
0.8410945979862219,1.527658990601374
0.8694154160729032,1.615973384788993
0.7730760348026302,1.5444815325448562
0.8319835043722222,1.5363533887187044
0.809187874050719,1.5626217543529521
0.7584341951261149,1.4195018295868151
0.7464775447674251,1.4404499006809388
0.8752367996879759,1.5785463104180513
0.8031740243233969,1.4108350870738435
0.8072203865742585,1.4899575524633955
0.9519466034991972,1.7325621949625414
0.8610745484422755,1.6417663784407535
0.8305778116543785,1.562467740685855
0.7756057150704647,1.4619261819540967
0.9251016509014328,1.6768739858947832
0.6584107478311864,1.2745123361398174
0.7432881458466105,1.407129862410875
0.8182914384697102,1.499334147428351
0.80832344660525,1.4992876102304495
0.9127596137620937,1.6238405460171528
0.8157264461489624,1.5083935940684314
0.7537737851114694,1.3857684317368204
0.7757299071096766,1.4764530064972927
0.7285859982564855,1.4778297664421385
0.9391247934703107,1.644360804979771
0.8154087827441817,1.5668210622080156
0.7966069304233925,1.5090404421445909
0.8255300030981461,1.6499950234790157
0.7957562070139419,1.5051222044136698
0.9518798222237606,1.7265314528098696
0.8462594176040464,1.5022373081580107
0.7841036017778912,1.5566521971342162
1.0180089802003764,1.7546675012035529
0.9452883665135001,1.7402792754206393
0.7637961494453017,1.4609792364038574
0.8777488799844002,1.5357928374592091
0.7740049891125751,1.45773794411798
0.7967960663096605,1.5222217599136068
0.853564873763538,1.4523123147604977
0.8071808222911114,1.5193029871952164
0.8032286167201971,1.4918316997853047
0.744594632579593,1.4194398807475341
0.7464942072540597,1.4741886142593585
0.7507022300347713,1.387367697640199
0.7855560592472952,1.4955562784199394
0.8125588106483209,1.5048237281170602
0.7817833449896325,1.4841046229814805
0.7825325516474978,1.4722905288828945
0.8550077872033023,1.6348407223881682
0.7059198901060859,1.4788646029619166
0.7664430682715656,1.4483580721011011
0.8240357073597238,1.5455120585978237
0.9029778615270259,1.7215982019779308
0.815812398688376,1.508467836219939
0.7868053042677979,1.539134196316839
0.6812944474864562,1.4045804599226983
0.6689472432631918,1.2388388016683476
0.7280666164124961,1.4314049939279248
0.7373295574183164,1.4210517866440557
0.8053506455052101,1.549725620881986
0.7945792995859942,1.5261733116807672
0.7267254156592968,1.4614127905530732
0.7358311533191807,1.4224621526717822
0.7588588122028483,1.3822431935978852
0.8771275997487239,1.5648991701857573
